Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Open Oregon,,2882853491751153,none,,,,18959,N/A,2020-09-10 08:21:49 EDT,2020-09-10,08:21:49,Status,"3,500",1230,178,1481,556,5,1,10,12,27,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3291550714214760,"Hey Kate Brown, could you tell me how much CO2 is being released due to the 400+ fires raging in Oregon right now? Im willing to bet that 500,000+ acres of fire might not be the best for our climate. I’m also willing to bet that your HORRENDOUS forest management policies probably contributed quite heavily to the disaster were experiencing right now. Give it 6 months and good ol’ Kate Brown will be pushing another “Cap & Trade” Bill aimed at curbing “global warming” supposedly caused by people in the Agricultural Industry. The same people fighting these fires, evacuating locals/livestock, and providing aid to those in need are the ones who have been telling you for YEARS to manage the forests properly. Yet their suggestions fell on deaf ears, like usual. Now we’re watching our homes and communities burn to the ground thanks to the policies of the DO NOTHING DEMOCRATS who have ruined forest management in Oregon in the name of environmentalism. To my anti-logging environmentalist friends in Oregon, hows the environment look right now? A bit smokey huh? I bet you’re thinking a couple hundred thousand gallons of burned diesel used in logging operations probably wasn’t as bad as the MILLIONS of trees that burned just last night, releasing millions of tons Carbon Dioxide into the atmosphere. Oh, and on top of that the hundreds of thousands of acres of forest that burned last night will now essentially capture no carbon from the atmosphere for 10-15 years. Now that’s what I call efficiency! Good work Portland, you’re saving the Earth one massive natural disaster at a time. As our “leaders” in Oregon are curled in the fetal position in their cozy downtown homes hiding from “racism” and “fascism” the real men and women of this state are fighting these fires, rescuing people/livestock, and coming out in droves to help their neighbors. We’re watching our state be destroyed by people pushing policies that quite literally do the opposite of their intention. When will it end? Time to wake up Oregonians. On another note it is extremely encouraging to see our communities come together in this horrible time. For many of us the last few months in Oregon have made us feel ashamed of our state. Ashamed when our leaders do not care that rioters and looters destroy communities. Ashamed when our leaders shut down our businesses, our events, our churches, and our lives out of fear for a virus with a 99.8% survival rate. Ashamed when our leaders take away our rights, while living their lives behind the curtains however they please. I know I’m not alone when I say this, but quite frankly it has been embarrassing to be an Oregonian the last few months. However, watching people sacrifice their time, their assets, their health, and for some even their lives to help out their neighbors has made me feel something I haven’t felt in awhile. It has made me feel proud to be an Oregonian. It’s made me proud to see normal Oregonians do extraordinary things under extreme circumstances in the most selfless ways possible simply out of love for their neighbor. That is a feeling that will warm your heart no matter how dark the times are. My thoughts and prayers go out to those affected right now, and over the next few weeks. It won’t be easy, but we can find reassurance in the fact that we have a massive community ready to do whatever it takes to help rebuild the communities that have been destroyed. If any of my friends need ANY help, do not hesitate to message or call me. Our family has room for livestock on our farm as well as access to trucks and trailers if evacuation is necessary. Friends, I’ll leave you with this verse of encouragement in this time of distress and disaster: Joshua 1:9 “Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.”",,,,,,,,,"3,500",13.36
Open Oregon,,2882853491751153,none,,,,18520,N/A,2020-09-01 15:22:57 EDT,2020-09-01,15:22:57,Link,"2,450",40,1014,459,3,31,86,11,806,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3265484236821408,"How is this legal?! 😡 Gov. Brown extends COVID-19 state of emergency 60 days, through Nov. 3 ",https://ktvz.com/news/coronavirus/2020/09/01/gov-brown-extends-covid-19-state-of-emergency-60-days-through-nov-3/,,,"Gov. Brown extends COVID-19 state of emergency 60 days, through Nov. 3 - KTVZ","Oregon Gov. Kate Brown on Tuesday extended her declaration of a state of emergency regarding COVID-19 for another 60 days, until Nov. 3.",,,,"2,450",16.12
Open Oregon,,2882853491751153,none,,,,19338,N/A,2020-09-14 10:53:42 EDT,2020-09-14,10:53:42,Link,"2,056",382,287,927,10,22,6,19,403,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3306185586084606,"Climate change? The republicans walking out? That is why Oregon is burning? Do your research on that special session and Pinocchio Kate’s nose starts growing. Rep. Bill Post shared this TRUTH. ""Let me tell you a story about the 2020 legislative session here in Oregon: There were several bills on the table that would have helped prevent wildfires in Oregon but they weren’t passed because of the walkout that denied quorum and ground the legislature to a halt. So here’s what happened: there were dozens (if not hundreds) of bills on the table during the short session and two people decide in which order they will be read: Democrat Tina Kotek and Democrat Peter Courtney. They decided that cap & trade would be among the first bills to be read, knowing that the Republicans would likely walk, thus holding all the other bills (including the wildfire bills) hostage until c&t passed. Well, the Republicans walked, c&t didn’t pass and neither did the rest of the bills. But here’s the kicker: the Republicans returned on the final day of session SPECIFICALLY to pass all the good-governance bills that the Democrats had placed behind c&t. This wasn’t a surprise, it was clearly communicated to Speaker Kotek and President Courtney that the Republicans would return. And guess what, the Democrats didn’t show up. The wildfire bills could have been passed if Kotek and Courtney has read them before c&t. The wildfire bills could have been passed if the Democrats had showed up on the final day of session, but the sad fact is that our elected Democrats would watch Oregon burn if it means they can blame it on a Republican. Stop the abuse. Vote Republican."" Folks this is why this November is so crucial to change the makeup of the Oregon Legislature Oregon Rep. Bill Post.",https://www.oregonlive.com/politics/2020/09/watch-oregon-gov-kate-brown-talks-about-wildfires-climate-change-whos-to-blame.html,,,"Watch: Oregon Gov. Kate Brown talks about wildfires, climate change, who’s to blame","Oregon's governor talked to ""Face the Nation"" on Sunday.",,,,"2,056",13.53
Open Oregon,,2882853491751153,none,,,,18546,N/A,2020-09-01 23:10:02 EDT,2020-09-01,23:10:02,Photo,"1,771",363,177,265,98,1,1,637,15,214,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3266311576738674,His name is Aaron (Jay) Danielson... sorry about that....,,,,,,,,,"1,771",9.04
Open Oregon,,2882853491751153,none,,,,19023,N/A,2020-09-10 23:37:05 EDT,2020-09-10,23:37:05,Link,"1,664",61,1125,89,1,21,231,7,129,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3295199427183222,,https://www.oregonlive.com/news/2020/09/rumors-about-antifa-wildfires-in-oregon-are-false-law-enforcement-says.html,,,"Rumors about ‘antifa’ wildfires in Oregon are false, law enforcement says","In the midst of historically destructive and deadly wildfires in Oregon, false rumors have surfaced claiming anti-fascists have been arrested for started the fires. More mainstream conservative pundits and a major police trade publication, as well as conspiracy theorists aligned with QAnon, have all...",,,,"1,664",10.95
Open Oregon,,2882853491751153,none,,,,18546,N/A,2020-09-02 08:28:37 EDT,2020-09-02,08:28:37,Status,"1,587",706,742,35,86,2,8,3,2,3,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3266686566701175,"If you’re tired of wearing a useless mask, let’s get together , and go in a store without one! How many people in this group are in Washington county and are willing to to that?",,,,,,,,,"1,587",6.06
Open Oregon,,2882853491751153,none,,,,18732,N/A,2020-09-07 00:31:33 EDT,2020-09-07,00:31:33,Link,"1,568",450,392,256,59,41,363,5,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3282599708443194,Surprised?,https://www.businessinsider.com/nike-laying-off-staff-after-losing-790-million-in-q4-2020-6,,,Nike is laying off staff and announces a $790 million loss in its latest quarterly earnings,"The sportswear giant on Thursday reported a net loss of $790 million for the fourth quarter, in part a result of pandemic-related store closures.",,,,"1,568",10.32
Open Oregon,,2882853491751153,none,,,,18758,N/A,2020-09-09 03:23:08 EDT,2020-09-09,03:23:08,Photo,"1,563",33,213,574,1,100,0,627,9,6,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3289294791107019,"So many towns lost today, Mill City, Phoenix, Talent, probably more. I drove past Phoenix and Talent tonight. Completely GONE!",https://www.facebook.com/photo.php?fbid=10223907357574643&set=gm.3289294791107019&type=3,,,,,,,,"1,563",7.97
Open Oregon,,2882853491751153,none,,,,19338,N/A,2020-09-14 17:12:33 EDT,2020-09-14,17:12:33,Link,"1,549",57,926,129,0,20,197,6,213,1,,-,0,0,0,N/A,https://www.facebook.com/groups/2882853491751153/permalink/3307049415998223,,https://www.koin.com/news/wildfires/gov-kate-brown-oregon-wildfires-press-conference-09142020/,,,Brown asks Trump to declare ‘Major Disaster’ in Oregon,Gov. Kate Brown will hold another press conference Monday afternoon on the battle against the wildfires in Oregon.,,,,"1,549",10.19
AWAKE LIKE ME,,918890171535718,none,,,,19781,N/A,2020-09-01 04:35:06 EDT,2020-09-01,04:35:06,Photo,"1,503",457,260,582,12,6,10,4,171,1,,-,0,0,0,N/A,https://www.facebook.com/groups/918890171535718/permalink/3337313313026713,Thanks Vetta.,https://www.facebook.com/photo.php?fbid=10159664708472573&set=gm.3337313313026713&type=3,,,,,,,,"1,503",11.39
