Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 23:00:26 EDT,2020-04-01,23:00:26,Native Video,63,32,2,28,1,0,0,0,0,0,share,No,3301,223066,0,00:01:14,https://www.facebook.com/healthyholisticliving/posts/2994359357273470,Got parasites?,https://www.facebook.com/VegetableJuicing/videos/1243409979143353/,,,Juicing Vegetables,"10 Warning Signs The Body Is Full Of Parasites And 7 Foods That Can Help Kill Them
Learn more: https://bit.ly/2LRHaHl:=:http://fitlife.tv/10-warning-signs-the-body-is-full-of-parasites-and-7-foods-that-can-help-kill-them/nutrition/?utm_source=facebook&utm_medium=social&utm_campaign=lumen+video&utm_term=signs+parasites",,,,-2.22
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 22:00:10 EDT,2020-04-01,22:00:10,Link,56,24,4,23,1,4,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991761844199888,"Here’s a list of five warning signs that may indicate a mold illness, and not just an allergy.",https://www.healthy-holistic-living.com/5-warning-signs-of-a-mold-illness/?utm_source=HHL,,,5 Warning Signs of a Mold Illness,"Mold can be a silent and sneaky offender of all kinds of health problems. Yet, you may be worried when you see a little mold in your house. You may not think of it as the cause of odd symptoms.",,,,-2.98
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 21:47:42 EDT,2020-04-01,21:47:42,Photo,418,104,11,60,21,2,0,217,3,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571509416457975,The truth no one wants to talk about. 🙏💔 👉 https://circleofmamas.com/vaccine-injury-stories/remys-story-sudden-death-the-same-night-of-his-2-month-shots/,https://www.facebook.com/photo.php?fbid=10217099202536127&set=p.10217099202536127&type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D10217099202536127%26set%3Dp.10217099202536127%26type%3D3,"Corydan ARE VACCINES SAFE? ""Anaphylactic/Adverse reaction to the multiple vaccinations received the the day prior"" -Autopsy- 06/07/19 Remington ""Remy' Dale Starkey Passed away approx. 12 hours after receiving the CDC recommended schedule 08/09/19",SaVanna,"Oh baby Remy how I miss you so 
#RememberRemy",,,,22
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913212,1877752,2020-03-31 21:00:57 EDT,2020-04-01,21:00:57,Photo,499,315,15,111,57,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991944450848294,,https://www.facebook.com/nordicnaturals/photos/a.304118439613611/4187049234653826/?type=3,,"FORGIVE OTHERS, NOT BECAUSE THEY DESERVE FORGIVENESS, BUT BECAUSE YOU DESERVE PEACE. UNKNOWN N@NORDICNATURALS",Nordic Naturals,,,,,-2.98
Holistic Hilda,HolisticHilda,985921748210269,PODCAST,,Do you want to improve your health w/o fancy shakes or flashy programs? Holistic Hilda is an expert on ancestral health practices & she can show you how to nurture wellbeing the natural way.,2020-05-01 19:32:09 EDT,N/A,N/A,2020-03-31 20:45:57 EDT,2020-04-01,20:45:57,Photo,41,22,6,0,13,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/HolisticHilda/posts/1808304789305290,"Hey! Since we’re going to be journeying together, take my hand (virtually) and let me introduce myself. 😀 🧡 I had 4 kids in 5 years because I like to get things done..and FAST 👶 👶 👶 👶 🧡 I’m Latina, with Mexican and Cuban blood🌶 🧡 I rank at the highest level of extrovert in the Myers Briggs personality indicator 👋 🧡 I’m a vocalist in a band called The DC Envoys (b/c my band mates are 🌍 travelers) 🧡 My first career was translation (Spanish & French to English) 🖊 📖 🧡 I quit that job to raise my kids & b/c I wanted more face time w/ people 👋 🧡I love challenges but can’t see myself skydiving 🪂 🧡 I fell into podcasting b/c I met a Maasai elder whose story had to be told 🎙 🧡 I began traveling the world inspired by Dr. Weston A. Price, eager to learn about ancestral health practices 🔥 🧡In this pic, I’m in Puerto Rico exploring Cueva de la Ventana (Window Cave) 🦇 🧡My next trip will be to Ecuador! 🇪🇨 🧡Everything I learn about health—from studies to be a health coach or guests on the Wise Traditions podcast or my Holistic Hilda YouTube channel—I share w/ you b/c I want everyone to live their best, healthiest life. 💫 And Im convinced this doesn’t come in some trendy pricey get-chiseled program or slick weight loss shake. Good health comes from looking to the wisdom of the past & adopting the practices of our ancestors. 🙏 For more on that, subscribe to the podcast 🎧 https://podcasts.apple.com/us/podcast/wise-traditions/id1072618042 and my YouTube 🎥 channel https://www.youtube.com/c/holistichilda.:=:https://www.youtube.com/error?src=404 Now, tell me 3️⃣ things about you that I might not know! I’m grateful that we are journeying through life together! Let’s hold on to each other tightly, even if only virtually for now! <3",https://www.facebook.com/HolisticHilda/photos/a.1002953586507085/1808304789305290/?type=3,,,Timeline Photos,,,,,1.17
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 20:00:19 EDT,2020-04-01,20:00:19,Link,74,44,1,27,1,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991760224200050,Drink Lemon Water Instead Of Pills If You Have One Of These 13 Problemsm_source=HHL,https://www.healthy-holistic-living.com/drink-lemon-water-instead-pills-one-12-problems/?utm_source=HHL,,,Drink Lemon Water Instead of Pills If You Have One Of These 12 Problems,Consuming warm water with lemon every morning is one of the best things that you can do for your organism.,,,,-2.26
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 18:09:43 EDT,2020-03-31,18:09:43,Photo,80,56,3,13,8,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571403749801875,"Here we are almost 60 years later, dealing with the consequences of a diet of weak poisons, and living in a world which is just not quite fatal. In the United States: 1,773 people die of heart disease every single day 1,641 people die of cancer every single day 438 people die of chronic lower respiratory diseases every single day 332 people die of Alzheimer’s disease every single day These major causes of death take the lives of 1.5 million people every single year. Where are all the news stories? New post 👉https://circleofmamas.com/health-news/chronic-illness-is-the-real-pandemic/",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2571403749801875/?type=3,,"""Why should we tolerate a diet of weak poisons, a home in insipid surroundings, circle of acquaintances who are not quite our enemies, the noise of motors with just enough relief to prevent insanity? Who would want to live in world which is just not quite fatal?"" rachel carson, silent spring, 1962 circleofmamas.com",Timeline Photos,,,,,4.21
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 18:00:00 EDT,2020-03-31,18:00:00,Link,759,40,137,96,3,8,1,394,80,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2991759627533443,"Kious Kelly, 48, died at Mount Sinai West in Manhattan on Tuesday night",https://www.healthy-holistic-living.com/worker-nyc-hospital-where-staff-wore-trash-bags-dies-at-48/?utm_source=HHL,,,Worker NYC hospital where staff wore TRASH BAGS dies at 48,Kious Kelly's sister wants New York to know what an amazing person he was.,,,,4.54
Circleofmamas,circleofmamas,1855831771359080,HEALTH & WELLNESS WEBSITE,US,"Our mission is to spread awareness of Vaccine Injuries. 

",2020-10-30 19:11:58 EDT,N/A,N/A,2020-03-31 17:55:56 EDT,2020-03-31,17:55:56,Photo,25,11,1,4,4,0,0,5,0,0,,-,0,0,0,N/A,https://www.facebook.com/circleofmamas/posts/2571393993136184,"My sister lays in a hospital bed, legs outstretched and filled with so much fluid they pit when you press on them. The pressure of the constant fluid has caused her knee caps to crumble. She can barely walk, and she can’t hold her head up for long. She doesn’t have #coronavirus. She isn’t even in a hospital. But she is one of the 133 million Americans currently living with a chronic health condition. It is estimated that 60% of Americans have at least one chronic condition, and 40% have two or more. It’s not just adults. The percent of children living with a chronic health condition ranges from 27% of children have a condition that affects their daily activities, to 54% of children have a chronic health condition when overweight, obesity, or being at risk for developmental delays are included. These numbers are rising, and there is no genetic explanation: asthma and Attention Deficit Hyperactivity Disorder (ADHD) rates are disproportionately higher for children living in poverty, compared to wealthier families, and a recent study found Autism is half as common in wealthy whites compared to poor whites living in the same exact State. ""There is an urgent need to understand what wealthy California parents are doing or have access to that may be lowering their children’s risk, and what changes occurred around 2000 that may have affected these parents’ behavior or options. Conversely, there is an equally urgent need to understand the factors that may lead to increased risk of ASD among lower income populations, including factors that may be beyond their control, such as access to and autonomy over healthy food, health care, stressful environments and toxic exposures."" These studies suggest what many of us have known for a long time: genetics don’t cause epidemics. The truth is, wealthy whites are avoiding or opting out of many of the possible environmental triggers that compromise our children’s health, and rob them of their full potential. Some of the medications and vaccines given for free through Medicaid may be fundamentally different as well. Either way, it’s not the parent’s fault when they too are just ‘following doctor’s orders’. And everything, from infant formula to vaccinations, is FDA approved. We have been failed by these regulatory agencies. *This* is the news story. 🇺🇸 In the United States: 🇺🇸 1,773 people die of heart disease every single day 1,641 people die of cancer every single day 438 people die of chronic lower respiratory diseases every single day 332 people die of Alzheimer’s disease every single day These major causes of death take the lives of 1.5 million people every single year. Where are all the news stories? These people are not just numbers–they are grandmas and grandpas, aunts and uncles, mothers and fathers, and children. About 16,000 children 18 years and under will be diagnosed with cancer this year alone, an unexplained increase of 60% over the last 41 years. The causes of many of these chronic conditions often hide behind the ambivalent “unknown cause.” But I have a feeling, we could figure it out if we really tried. We do know that many of them have environmental causes: diet, air pollution, water quality, pesticides, chemicals, sunscreens, beauty products, medications and vaccines–all contribute something to the toxic load. For example, children who receive ‘any vaccines’ are about 2.4 times more likely to have any chronic condition, compared to completely unvaccinated children. My sister. After decades of losing battle after battle with her weight (unhealthy eating habits, fast food, big gulps, fried food—these are ‘classic American staples’ right?) and she was and is a smoker too, my sister had an early form of the gastric bypass surgery, the Roux-en-Y gastric bypass, which removed most of her small intestine. The exact surgery she had, they don’t do anymore, it is so dangerous to one’s health. The FDA approved surgery thrust her into a state of malnutrition. She lost all her hair. One in 5 post-surgery patients develop alcohol problems, and she did. She ended up losing everything: her family, then her custody, her job, and her spark. Right when she started to get things together again, she developed a Deep Vein Thrombosis (DVT) in her leg. Her doctors recommended implanting an IVC filter (inferior vena cava filter) which is a little wire filter that resembles a long legged spider. It was placed in her major artery to catch the small blood clots that might break off the larger clot. It was only supposed to be temporary and she was also given blood thinners. (It’s supposed to be one or the other, not both). The doctor at the hospital who discharged her calculated her blood thinners wrong, and overdosed her. Within three days of being home they frantically searched for an OB/GYN who would perform an emergency hysterectomy to stop a pelvic bleed. The ER doctor could not believe it, her INR blood (truncated)",https://www.facebook.com/circleofmamas/photos/a.1876263759315881/2571389973136586/?type=3,,,,,,,,1.32
Healthy Holistic Living,healthyholisticliving,134953239880777,HEALTH & WELLNESS WEBSITE,US,"""The greatest discovery of any generation is that human beings can alter their lives by altering the attitudes of their minds.""            ",2014-04-16 16:05:04 EDT,1913200,1877740,2020-03-31 17:00:06 EDT,2020-03-31,17:00:06,Photo,"5,146",814,79,2889,42,5,1314,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/healthyholisticliving/posts/2993811960661543,Lol! 😁,https://www.facebook.com/healthyholisticliving/photos/a.327445603964872/2993811960661543/?type=3,,"After listening her owner drone on for hours, Ginger suddenly realized she was NOT cut out to be an emotional support dog after all.",Timeline Photos,,,,,3.46
