Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Health Freedom Ohio,hfo4you,1780780855277063,HEALTH_SITE,US,"501(c)4 nonprofit organization dedicated to maintaining our fundamental human right to health freedom. Volunteer based and grassroots consisting of Ohioans, medical, and health professionals. It's your health, your life, your way.",2018-03-19 23:13:36,22031,22855,2021-02-05 20:51:13 EST,2021-02-05,20:51:13,Photo,870,288,179,233,165,1,1,0,0,3,,-,0,0,0,N/A,https://www.facebook.com/1780780855277063/posts/3881848995170228,"Health Freedom Ohio is infinitely grateful for members of the General Assembly who honor Ohioan’s God-given fundamental human rights and freedoms as protected by the Constitution. It takes great leadership skills, commendable humility and extraordinary moral courage to be willing to learn, grow and listen to the citizenry in order to affect much needed change and preserve that which is most sacred. Understanding that individual choices in medical interventions must remain voluntary is among the most sacred tenets and imperative human rights that has long been recognized since the establishment of the Universal Declaration of Human Rights. Birthed from a dire lesson in history that called for the codification of the basic premise of informed consent, which includes the provision of informed refusal, and the ethical responsibility to provide that basic human right, lest we risk much with its violation. HFO and General Assembly members such as State Representative Scott Lipps, not only cherish the importance of those lessons from history but seek to engage in mutually educative experiences; whereby, we can all benefit from understanding the peer reviewed science and facts, whilst honoring an individual’s right to choose what medical interventions they decide to subject themselves to, even if it includes products that are indemnified from liability due to the potential risk of injuries that may be incurred. CHOICE and TRANSPARENCY are not radical notions for those who have the tenacity to heed the lessons from history and understand the ethics behind the basic human right to informed consent. HFO is also grateful for those who possess the journalistic integrity to honor the fourth estate by conducting thorough, unbiased research and reporting of the facts. Kindly take this opportunity to read Laura Bischoff DDN's article published in the Dayton Daily News and be sure to visit Scott Lipps for State Representative page to express your gratitude towards a state leader who unequivocally honors Ohioan's fundamental human rights to informed consent. Article: https://www.daytondailynews.com/local/local-lawmaker-says-he-supports-vaccines-but-wont-take-covid-shot/I7YBGZD6MJBA3AF273FRZRJNQ4/ Honorable State Representative Scott Lipps: https://www.facebook.com/scottlippsforstaterep/",https://www.facebook.com/hfo4you/photos/a.1785729951448820/3881848951836899/?type=3,,=Dayton Daily News Local. In-Depth. Always updated. Support Local Journalism. Subscribe today for 99ф. WM Lipps says he supports access to vaccines and letting people choose whether to be vaccinated. Local lawmaker says he supports vaccines but won't take COVID shot,,,,,,870,6.3
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11964,12509,2021-02-18 09:07:14 EST,2021-02-18,09:07:14,Link,705,11,204,87,0,103,2,130,168,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2728881514108782,240 children aged from 6 to 17 will get the jab while 60 will have a control meningitis vaccine. https://www.walesonline.co.uk/news/uk-news/300-child-volunteers-test-covid-19831572,https://www.walesonline.co.uk/news/uk-news/300-child-volunteers-test-covid-19831572,,,300 child volunteers to test Covid vaccine from this month,240 children aged from 6 to 17 will get the jab while 60 will have a control meningitis vaccine,,,,705,3.03
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11985,12529,2021-02-11 09:35:12 EST,2021-02-11,09:35:12,Link,643,14,128,216,0,52,4,23,206,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2724158334581100,“Daniel has developed two versions: basic and international. The international version has e-vaccine technology that serves as an electronic version of your health records. He suggests the basic version be used for domestic travel and daily interactions.” https://www.kare11.com/mobile/article/entertainment/television/programs/q-and-a/vaccination-passports-could-be-required-as-soon-as-the-summer/65-446c5f24-c808-42c0-9f8d-df197e079c74?fbclid=IwAR3QQ3g24XsIWLjkR3Hr3IyaTTNQqvQSzEdr2wfWDxfCfbH7e-EfD9RpV2I:=:https://www.kare11.com/article/entertainment/television/programs/q-and-a/vaccination-passports-could-be-required-as-soon-as-the-summer/65-446c5f24-c808-42c0-9f8d-df197e079c74?fbclid=IwAR3QQ3g24XsIWLjkR3Hr3IyaTTNQqvQSzEdr2wfWDxfCfbH7e-EfD9RpV2I,https://www.kare11.com/mobile/article/entertainment/television/programs/q-and-a/vaccination-passports-could-be-required-as-soon-as-the-summer/65-446c5f24-c808-42c0-9f8d-df197e079c74,https://www.kare11.com/article/entertainment/television/programs/q-and-a/vaccination-passports-could-be-required-as-soon-as-the-summer/65-446c5f24-c808-42c0-9f8d-df197e079c74,,'It will be required' | Vaccination passports could be required as soon as the summer,Early versions are in development all around the world in both the public and private sectors.,,,,643,2.76
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11990,12533,2021-02-10 14:39:53 EST,2021-02-10,14:39:53,Link,565,46,40,334,0,106,0,30,9,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2723676591295941,"In the past four weeks, doctors have seen swollen lymph nodes on screening mammograms of women who have recently been vaccinated. “Whenever we see these on a normal screening mammogram we call those patients back because it can either mean metastatic breast cancer which travels to the lymph nodes or lymphoma or leukemia.” ... Women should get their mammogram before their first dose of the vaccine, or wait four weeks after their second dose of the vaccine. “We don’t want these patients to get a false positive to have this sort of alarm,” Parkinson said. While inflammation is the body’s normal response to a vaccine, Dr. Parkinson says it’s surprising how many swollen lymph nodes they’ve been seeing. “With the Moderna vaccine it’s about 11% after the first dose and 16% after the second dose. We believe it’s comparable for the Pfizer vaccine as well.” https://www.fox13now.com/news/coronavirus/local-coronavirus-news/new-mammogram-guidelines-for-women-recently-vaccinated-for-covid-19?fbclid=IwAR2RQ-9HN6g9ynRd8FWuqyugknnxcVsCvhx3CJ5hFQl684gMWKPZLg8sXdk",https://www.fox13now.com/news/coronavirus/local-coronavirus-news/new-mammogram-guidelines-for-women-recently-vaccinated-for-covid-19,,,New mammogram guidelines for women recently vaccinated for COVID-19,"Women should get their mammogram before their first dose of the vaccine, or four weeks after their second dose",,,,565,2.44
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11976,12515,2021-02-02 17:58:50 EST,2021-02-02,17:58:50,Photo,548,284,130,86,11,8,1,2,26,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2718383728491894,Link in Comments ⬇️,https://www.facebook.com/MNRIGHTS/photos/a.1579487729048172/2718383511825249/?type=3,,I OPPOSE MN HF604 MASK MANDATE BECAUSE: @MNRIGHTS,,,,,,548,2.17
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11937,12480,2021-02-25 08:46:26 EST,2021-02-25,08:46:26,Link,536,280,38,160,55,1,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2733714100292190,"Given the uncertainty about the two vaccines, their EUAs are explicit that each is “an investigational vaccine not licensed for any indication” and require that all “promotional material relating to the Covid-19 Vaccine clearly and conspicuously … state that this product has not been approved or licensed by the FDA, but has been authorized for emergency use by FDA” (emphasis added). The same section of the Federal Food, Drug, and Cosmetic Act that authorizes the FDA to grant emergency use authorization also requires the secretary of Health and Human Services to “ensure that individuals to whom the product is administered are informed … of the option to accept or refuse administration of the product.” Likewise, the FDA’s guidance on emergency use authorization of medical products requires the FDA to “ensure that recipients are informed to the extent practicable given the applicable circumstances … That they have the option to accept or refuse the EUA product …” In the same vein, when Dr. Amanda Cohn, the executive secretary of the CDC’s Advisory Committee on Immunization Practices, was asked if Covid-19 vaccination can be required, she responded that under an EUA, “vaccines are not allowed to be mandatory. So, early in this vaccination phase, individuals will have to be consented and they won’t be able to be mandatory.” Cohn later affirmed that this prohibition on requiring the vaccines applies to organizations, including hospitals. The EUAs for both the Pfizer/BioNTech and Moderna vaccines require facts sheets to be given to vaccination providers and recipients. These fact sheets make clear that getting the vaccine is optional. For example, the one for recipients states that, “It is your choice to receive or not receive the Covid-19 Vaccine,” and if “you decide to not receive it, it will not change your standard of medical care.” https://www.statnews.com/2021/02/23/federal-law-prohibits-employers-and-others-from-requiring-vaccination-with-a-covid-19-vaccine-distributed-under-an-eua/",https://www.statnews.com/2021/02/23/federal-law-prohibits-employers-and-others-from-requiring-vaccination-with-a-covid-19-vaccine-distributed-under-an-eua/,,,Employers can't require Covid-19 vaccination under an EUA - STAT,"Organizations are free to encourage Covid-19 vaccination by employees and others, but federal law prohibits them from requiring it.",,,,536,2.3
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11936,12479,2021-02-24 14:16:57 EST,2021-02-24,14:16:57,Photo,509,270,28,173,29,6,0,2,0,1,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2733207127009554,Your COVID-19 risk as of today. source: MDH & CDC h/t @covid_clarity,https://www.facebook.com/MNRIGHTS/photos/a.1579487729048172/2733207017009565/?type=3,,,,,,,,509,2.01
vactruth.com,vaccinetruth,287991907988,ACTIVITY_GENERAL,US,Click on this link and get FREE instant access to powerful information on vaccines! http://vactruth.com/join,2010-02-06 05:55:45,122320,120353,2021-02-15 02:03:04 EST,2021-02-15,02:03:04,Photo,493,108,41,230,0,42,1,60,10,1,,-,0,0,0,N/A,https://www.facebook.com/287991907988/posts/10158194119812989,"Deaths have reached 653 as of February 14, 2021. All of these people took the vaccine at their own risk. :'(",https://www.facebook.com/vaccinetruth/photos/a.10150455123022989/10158194114582989/?type=3,,"""In 1976 the US halted the swine flu vax after 6wks for 25 deaths & 362 cases of Guillain-Barre injuries."" After 8wks of CV jab we are at 501 deaths, 147 anaphylaxis, & 128 cases of Bell's Palsy.",,,,,,493,4.25
Tennessee Coalition for Vaccine Choice,TN4VaxChoice,1592571291060774,POLITICAL_ORGANIZATION,US,Political Organization,2016-04-12 17:30:51,6585,6903,2021-02-13 16:33:46 EST,2021-02-13,16:33:46,Photo,454,15,61,78,0,58,1,118,121,2,,-,0,0,0,N/A,https://www.facebook.com/1592571291060774/posts/2793050331012858,"Please be praying for these children involved in these trials. “Dr. Buddy Creech, a pediatric infectious disease expert with Monroe Carell Jr. Children's Hospital at Vanderbilt, said they're hoping to recruit children in the next four or five weeks, even those that are in school-aged years, into vaccine clinical trials.” https://fox17.com/news/local/vanderbilt-hoping-to-recruit-children-for-covid1-9-vaccine-clinical-trials-science-kids-school-parents-health-hospital?fbclid=IwAR1fWbTC-p0j6G2CVOFEN6y-OtxtydaYBB8qWZHzqy4m0LpjXPn6EGL7Cb4",https://www.facebook.com/TN4VaxChoice/photos/a.1688495571468345/2793049774346247/?type=3,,"FOX17 WZTV NASHVILLE 28 WATCH Vanderbilt hoping to recruit children for COVID-19 vaccine clinical trials in coming weeks by Kaylin Jorge Thursday, February 11th 2021 AA 大 Monroe Carell Jr. Children's Hospital at Vanderbilt, exterior of new construction.Vanderbilt University Medical Center Photo: Anne Rayner; VU",,,,,,454,2.45
Health Freedom Minnesota,MNRIGHTS,1514621358868143,COMMUNITY,US,Connecting the community with support and education on issues of health and personal freedom. Follow us on Telegram! https://t.me/MNRights,2016-01-01 15:53:30,11985,12529,2021-02-11 09:08:41 EST,2021-02-11,09:08:41,Link,390,227,46,89,1,21,2,2,2,0,,-,0,0,0,N/A,https://www.facebook.com/1514621358868143/posts/2724143724582561,Fascinating how all the drugs we were told a year ago don’t work are suddenly effective 🧐,https://www.fox9.com/news/remdesivir-effective-against-covid-19-university-of-minnesota-study-says,,,This is a re-share of a post,"The study found remdesivir is ""effective in blocking virus replication in all cell types in the upper respiratory tract,"" the release says.",,,,390,1.67
